Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
xmind,org.xmind.core.tests,TestEncodedOutputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.tests,TestDecodedInputStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.internal.experiments,CompressionTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.internal.experiments,Modifier,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.internal.tests,TestUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.internal.tests,WorkbookTestCaseBase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.runtime.test,XMindCoreRuntimeTestSuite,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
xmind,org.xmind.core.runtime.test,XMindCoreRuntimeTestSuite,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.internal.command.remote,RemoteCommandPlugin,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLUGIN_ID; context; singleton; frameworkRegistration; debugTracker
xmind,org.xmind.core.internal.command.remote,RemoteCommandPlugin,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: RemoteCommandPlugin; CommandServiceDomainManagerImpl
xmind,org.xmind.core.internal.command.remote,IDomainsExtensionConstants,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.internal.command.remote,IDomainsExtensionConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: EXT_POINT; TAG_DOMAIN; TAG_SERVICE_FACTORY; ATT_ID; ATT_NAME; ATT_DIRECTOR; ATT_SERVER; ATT_ADVERTISER; ATT_DISCOVERER; ATT_CLASS
xmind,org.xmind.core.internal.command.remote,NullDomainService,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
xmind,org.xmind.core.internal.command.remote,CommandServiceDomainImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.internal.command.remote,Messages,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BUNDLE_NAME; DefaultCommandServiceDomainDirector_ConnectionRemoteCommand; DefaultCommandServiceDomainDirector_DisconnectionRemoteCommand; IncomingCommandHandler_ConnectionClose; IncomingCommandHandler_ExcuteCommand; IncomingCommandHandler_ReadCommand; IncomingCommandHandler_WriteReponseBack; IncomingSocketCommandHandler_ConnectionFailed_Message; OutgoingCommandHandler_ConnectionClose; OutgoingCommandHandler_ConsumeReturnValue; OutgoingCommandHandler_ExcuteCommand; OutgoingCommandHandler_InvalidReturnValueCode; OutgoingCommandHandler_InvalidReturnValueStatus; OutgoingCommandHandler_ReceiveReturnValue; OutgoingCommandHandler_SendCommand; OutgoingSocketCommandHandler_ConnectionFailed_Message; OutgoingSocketCommandHandler_ConnectionRemoteCommand_Message; OutgoingSocketCommandHandler_ConnectionTimeOut; OutgoingSocketCommandHandler_FailedOpenInputStream; OutgoingSocketCommandHandler_FailedOpenOutputStream; RemoteCommandJob_CommandSendError_Message; SocketCommandServer_CloseCommandServerSocket; SocketCommandServer_OpenCommandServerSocket; SocketCommandServer_OperationLock
xmind,org.xmind.core.internal.command.remote,DomainServiceFactoryDescriptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.transfer,IncomingCommandHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.transfer,CommandTransferUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ENCODING; MARKER_PROPERTIES; MARKER_VALUES; MARKER_FILES
xmind,org.xmind.core.command.transfer,OutgoingCommandHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.transfer,ChunkWriter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,ICommandServiceInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,Identifier,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,IRemoteCommandServiceListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,AbstractCommandServerAdvertiser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,IRemoteCommandService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,ICommandServiceDomain,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,IIdentifier,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,RemoteCommandJob,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,IDomainServiceFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,CommandServiceInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote,Options,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_TIMEOUT; timeout; DEFAULT
xmind,org.xmind.core.command.remote,AbstractRemoteCommandServiceDiscoverer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote.socket,InternalIncomingSocketCommandHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote.socket,OutgoingSocketCommandHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote.socket,SocketAddress,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote.socket,ISocketAddress,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote.socket,SocketPool,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote.socket,SocketCommandServiceInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.core.command.remote.socket,SocketCommandServer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui.exports.vector,VectorPlugin,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLUGIN_ID; plugin
xmind,org.xmind.ui.exports.vector.graphics,GraphicsToGraphics2DAdaptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui.exports.vector.graphics,GraphicsToGraphics2DAdaptor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: translateX; translateY; clipX; clipY; clipW; clipH; font; XorMode; fgColor; bgColor; fgPattern; bgPattern; alpha; lineAttributes; graphicHints; ADVANCED_GRAPHICS_MASK; ADVANCED_SHIFT; FILL_RULE_MASK; FILL_RULE_SHIFT; FILL_RULE_WHOLE_NUMBER; swtGraphics; graphics2D; stroke; states; currentState; appliedState; flatMatrixState; paintNotCompatibleStringsAsBitmaps; TEXT_UTILITIES; relativeClipRegion; viewBox; image; transX; transY; angle; rotateX; rotateY; horizontalScale; verticalScale; display; rotateOrientation
xmind,org.xmind.ui.exports.vector.graphics,GraphicsToGraphics2DAdaptor,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 84 public methods
xmind,org.xmind.ui.exports.vector.graphics,State,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui.exports.vector.graphics,State,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: translateX; translateY; clipX; clipY; clipW; clipH; font; XorMode; fgColor; bgColor; fgPattern; bgPattern; alpha; lineAttributes; graphicHints
xmind,org.xmind.core.licensing,ILicenseChangedListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui,IPreSaveListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui,IPreSaveInteractiveFeedback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui,IPreSaveInteractiveProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui,ISaveablePart3,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui,IWordContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui.prefs,PrefConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ANIMATION_ENABLED; SHADOW_ENABLED; UNDO_LIMIT; OVERLAPS_ALLOWED; MANUAL_LAYOUT_ALLOWED; FREE_POSITION_ALLOWED; DND_CLIENT_ID_ORDER; GRADIENT_COLOR; UNDO_REDO_TIPS_ENABLED; UNDO_REDO_TIPS_FADE_DELAY; DEFUALT_THEME; PREVIEW_SKIPPED; SHOW_OVERVIEW; HOME_MAP_LOCATION; CREATE_ATTACHMENT; CREATE_HYPERLINK; ASK_USER; ADD_EXTERNAL_FILE; AUTO_BACKUP_ENABLE; HIDE_PRO_FEATURES; AUTHOR_INFO_NAME; AUTHOR_INFO_EMAIL; AUTHOR_INFO_ORG; THEME_APPLY; THEME_OVERRIDE; THEME_KEEP; ZOOM_VALUE; SHOW_PLUS_MINUS_ICONS_KEY; HIDE_BOTH; SHOW_BOTH; HIDE_MINUS_SHOW_PLUS; SAVE_WIZARDS; DEFAULT_SAVE_WIZARD
xmind,org.xmind.ui.prefs,PrefConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: ANIMATION_ENABLED; SHADOW_ENABLED; UNDO_LIMIT; OVERLAPS_ALLOWED; MANUAL_LAYOUT_ALLOWED; FREE_POSITION_ALLOWED; DND_CLIENT_ID_ORDER; GRADIENT_COLOR; UNDO_REDO_TIPS_ENABLED; UNDO_REDO_TIPS_FADE_DELAY; DEFUALT_THEME; PREVIEW_SKIPPED; SHOW_OVERVIEW; HOME_MAP_LOCATION; CREATE_ATTACHMENT; CREATE_HYPERLINK; ASK_USER; ADD_EXTERNAL_FILE; AUTO_BACKUP_ENABLE; HIDE_PRO_FEATURES; AUTHOR_INFO_NAME; AUTHOR_INFO_EMAIL; AUTHOR_INFO_ORG; THEME_APPLY; THEME_OVERRIDE; THEME_KEEP; ZOOM_VALUE; SHOW_PLUS_MINUS_ICONS_KEY; HIDE_BOTH; SHOW_BOTH; HIDE_MINUS_SHOW_PLUS; SAVE_WIZARDS; DEFAULT_SAVE_WIZARD
xmind,org.xmind.ui.tools,GalleryMoveTool,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PARAM_INSERT_TARGET; PARAM_INSERT_POSITION; DELTA; layer; cover; placeholder; horizontalLayout; relativePart; beforeOrAfter; resources
xmind,org.xmind.ui.tools,AbstractSelectToolHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui.tools,ParentSearcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui.tools,ITopicMoveToolHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui.tools,FeedbackAreaSelectTool,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
xmind,org.xmind.ui.tools,MindMapEditToolBase,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
