Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testGetChildren,Magic Number,The method contains a magic number: 2
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testDelete,Magic Number,The method contains a magic number: 2
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testAttributes,Magic Number,The method contains a magic number: 2
xmind,org.xmind.core.tests,WorkbookTestCase,testWorkbookDeserializing,Long Statement,The length of the statement "IComment sourceComment1=sourceWorkbook.getCommentManager().createComment(UUID.randomUUID().toString()`System.currentTimeMillis()`sourceWorkbook.getPrimarySheet().getRootTopic().getId());" is 186.
xmind,org.xmind.core.tests,WorkbookTestCase,write,Magic Number,The method contains a magic number: 0xff
xmind,org.xmind.core.tests,WorkbookTestCase,read,Magic Number,The method contains a magic number: 0xff
xmind,org.xmind.core.tests,WorkbookTestCase,testNormalization,Long Statement,The length of the statement "@Override public OutputStream normalizeOutputStream( OutputStream stream` IFileEntry fileEntry) throws IOException` CoreException {" is 131.
xmind,org.xmind.core.tests,WorkbookTestCase,testNormalization,Long Statement,The length of the statement "@Override public InputStream normalizeInputStream( InputStream stream` IFileEntry fileEntry) throws IOException` CoreException {" is 128.
xmind,org.xmind.core.tests,TestEncodedOutputStream,write,Magic Number,The method contains a magic number: 0xff
xmind,org.xmind.core.tests,TestDecodedInputStream,read,Magic Number,The method contains a magic number: 0xff
xmind,org.xmind.core.tests,MarkerTestCase,testCreateMarkerInWorkbookUsingGivenResourcePath,Long Statement,The length of the statement "assertArrayEquals(resourceContent`readBytes(storage.getInputSource().openEntryStream(MARKER_PATH_PREFIX + resourcePath)));" is 122.
xmind,org.xmind.core.tests,MarkerTestCase,testCreateMarkerInWorkbookUsingGivenMarkerId,Long Statement,The length of the statement "assertArrayEquals(resourceContent`readBytes(storage.getInputSource().openEntryStream(MARKER_PATH_PREFIX + resourcePath)));" is 122.
xmind,org.xmind.core.tests,MarkerTestCase,testCreateCustomMarkerUsingGivenResourcePath,Long Statement,The length of the statement "IMarkerSheet markerSheet=Core.getMarkerSheetBuilder().createMarkerSheet(new MarkerResourceProvider(storage.getInputSource()`storage.getOutputTarget()`false));" is 158.
xmind,org.xmind.core.tests,MarkerTestCase,testCreateCustomMarkerUsingGivenMarkerId,Long Statement,The length of the statement "IMarkerSheet markerSheet=Core.getMarkerSheetBuilder().createMarkerSheet(new MarkerResourceProvider(storage.getInputSource()`storage.getOutputTarget()`false));" is 158.
