Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
xmind,org.xmind.core.tests,TopicIteratorTestCase,testTopicIterator,34,1,0
xmind,org.xmind.core.tests,StyleTestCase,testStyleAutoManagementByReferences,21,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testExtensions,14,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testResourceRef,13,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testName,9,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testParent,9,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testTextContent,11,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testGetChildren,12,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testCreateChild,9,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testGetCreatedChild,9,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testGetFirstChild,13,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testDelete,19,1,0
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,testAttributes,13,1,0
xmind,org.xmind.core.tests,RevisionTestCase,testAddRevision,12,1,0
xmind,org.xmind.core.tests,CommentTestCase,testCommentAutoManagement,89,1,0
xmind,org.xmind.core.tests,CommentTestCase,assertSet,12,3,2
xmind,org.xmind.core.tests,CommentTestCase,testCommentEvent,95,1,0
xmind,org.xmind.core.tests,CommentTestCase,handleCoreEvent,3,1,1
xmind,org.xmind.core.tests,CommentTestCase,author,3,1,0
xmind,org.xmind.core.tests,CommentTestCase,time,3,1,0
xmind,org.xmind.core.tests,WorkbookTestCase,testWorkbookCreation,10,1,0
xmind,org.xmind.core.tests,WorkbookTestCase,testWorkbookSerializing,17,1,0
xmind,org.xmind.core.tests,WorkbookTestCase,testWorkbookDeserializing,33,1,0
xmind,org.xmind.core.tests,WorkbookTestCase,TestEncodedOutputStream,3,1,1
xmind,org.xmind.core.tests,WorkbookTestCase,write,9,2,1
xmind,org.xmind.core.tests,WorkbookTestCase,TestDecodedInputStream,3,1,1
xmind,org.xmind.core.tests,WorkbookTestCase,read,6,3,0
xmind,org.xmind.core.tests,WorkbookTestCase,read,11,3,3
xmind,org.xmind.core.tests,WorkbookTestCase,testNormalization,36,1,0
xmind,org.xmind.core.tests,WorkbookTestCase,normalizeOutputStream,3,1,2
xmind,org.xmind.core.tests,WorkbookTestCase,normalizeInputStream,3,1,2
xmind,org.xmind.core.tests,WorkbookTestCase,toBytes,15,1,1
xmind,org.xmind.core.tests,TestEncodedOutputStream,TestEncodedOutputStream,3,1,1
xmind,org.xmind.core.tests,TestEncodedOutputStream,write,9,2,1
xmind,org.xmind.core.tests,TestDecodedInputStream,TestDecodedInputStream,3,1,1
xmind,org.xmind.core.tests,TestDecodedInputStream,read,6,3,0
xmind,org.xmind.core.tests,TestDecodedInputStream,read,11,3,3
xmind,org.xmind.core.tests,MarkerTestCase,testCreateMarkerInWorkbookUsingGivenResourcePath,18,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testCreateMarkerInWorkbookUsingGivenMarkerId,19,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testCreateCustomMarkerUsingGivenResourcePath,17,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testCreateCustomMarkerUsingGivenMarkerId,18,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testCloneMarkerFromCustomMarkerSheetToWorkbookMarkerSheet,29,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testCloneMarkerFromWorkbookMarkerSheetToWorkbookMarkerSheet,30,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testCloneOneMarkerFromMultiMarkerGroup,41,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testMarkerAutoManagementByReferences,58,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testMarkerResourceAutoReferencing,44,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testFixBugThatFailsToCloneMarkerBecauseOfUsingCustomMarkerSheetAsParent,35,1,0
xmind,org.xmind.core.tests,MarkerTestCase,testLoadWorkbookWithMarkers,43,1,0
xmind,org.xmind.core.internal.experiments,CompressionTest,CompressionTest,2,1,0
xmind,org.xmind.core.internal.experiments,CompressionTest,createWorkbookContents,11,2,1
xmind,org.xmind.core.internal.experiments,CompressionTest,createRandomString,7,2,1
xmind,org.xmind.core.internal.experiments,CompressionTest,testCompressionSpeed,13,2,0
xmind,org.xmind.core.internal.experiments,CompressionTest,testCompressionSize,8,1,0
xmind,org.xmind.core.internal.experiments,CompressionTest,save,18,2,3
xmind,org.xmind.core.internal.experiments,CompressionTest,run,10,1,0
xmind,org.xmind.core.internal.experiments,CompressionTest,main,3,1,1
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,main,3,1,1
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,getName,0,1,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,modify,0,1,1
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,getName,3,1,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,modify,9,1,1
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,getName,3,1,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,modify,7,2,1
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,getName,3,1,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,modify,7,2,1
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,run,40,1,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,uncaughtException,5,1,2
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,run,3,1,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,run,3,1,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,modify,15,3,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,save,36,2,0
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,testLoad,20,2,0
xmind,org.xmind.core.internal.experiments,Modifier,getName,0,1,0
xmind,org.xmind.core.internal.experiments,Modifier,modify,0,1,1
xmind,org.xmind.core.internal.tests,TestPluginForXMindCore,getContext,3,1,0
xmind,org.xmind.core.internal.tests,TestPluginForXMindCore,start,3,1,1
xmind,org.xmind.core.internal.tests,TestPluginForXMindCore,stop,3,1,1
xmind,org.xmind.core.internal.tests,TestUtil,randString,3,1,0
xmind,org.xmind.core.internal.tests,TestUtil,readBytes,5,1,1
xmind,org.xmind.core.internal.tests,WorkbookTestCaseBase,createWorkbook,3,1,1
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,eval,3,1,2
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testPrimitiveValues,10,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testGetTitle,12,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testGetFolded,10,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testGetType,14,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testGetMarkers,10,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testGetMarkerIds,11,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testGetCount,12,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testGetChildTopics,9,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testGetParent,9,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,testCommonTopicTests,57,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,concat,6,1,2
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,setUp,17,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,tearDown,4,1,0
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,assertUnorderedResultSet,6,1,2
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,assertOrderedResultSet,11,2,2
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,DefaultCommandServiceDomainDirector,2,1,0
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,init,3,1,1
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,getDomain,3,1,0
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,connect,72,9,1
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,disconnect,28,4,1
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,activate,23,8,1
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,deactivate,22,8,1
