Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
xmind,org.xmind.core.tests,TopicIteratorTestCase,0,0,1,1,39,1,0,0,-1.0,0,2,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/TopicIteratorTestCase.java
xmind,org.xmind.core.tests,StyleTestCase,0,0,1,1,26,1,0,0,-1.0,0,1,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/StyleTestCase.java
xmind,org.xmind.core.tests,WorkbookExtensionTestCase,0,0,11,11,133,11,0,0,-1.0,0,2,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/WorkbookExtensionTestCase.java
xmind,org.xmind.core.tests,RevisionTestCase,0,0,1,1,17,1,0,0,-1.0,0,0,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/RevisionTestCase.java
xmind,org.xmind.core.tests,CommentTestCase,0,0,6,3,207,8,0,0,-1.0,0,1,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/CommentTestCase.java
xmind,org.xmind.core.tests,WorkbookTestCase,0,0,12,11,149,17,0,0,-1.0,0,2,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/WorkbookTestCase.java
xmind,org.xmind.core.tests,TestEncodedOutputStream,0,0,2,2,14,3,0,0,-1.0,0,0,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/WorkbookTestCase.java
xmind,org.xmind.core.tests,TestDecodedInputStream,0,0,3,3,22,7,0,0,-1.0,0,0,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/WorkbookTestCase.java
xmind,org.xmind.core.tests,MarkerTestCase,1,0,11,11,360,11,0,0,0.7272727272727273,0,1,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/tests/MarkerTestCase.java
xmind,org.xmind.core.internal.experiments,CompressionTest,2,0,8,5,76,12,0,0,1.0,0,0,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/internal/experiments/CompressionTest.java
xmind,org.xmind.core.internal.experiments,ConcurrentModificationTest,12,0,16,11,173,22,0,0,0.5,0,0,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/internal/experiments/ConcurrentModificationTest.java
xmind,org.xmind.core.internal.experiments,Modifier,0,0,2,0,4,2,0,0,-1.0,0,0,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/internal/experiments/ConcurrentModificationTest.java
xmind,org.xmind.core.internal.tests,TestPluginForXMindCore,1,0,3,2,12,3,0,0,0.0,1,1,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/internal/tests/TestPluginForXMindCore.java
xmind,org.xmind.core.internal.tests,TestUtil,0,0,2,2,16,2,0,0,-1.0,0,0,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/internal/tests/TestUtil.java
xmind,org.xmind.core.internal.tests,WorkbookTestCaseBase,0,0,1,0,12,1,0,0,-1.0,0,1,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.tests/src/org/xmind/core/internal/tests/WorkbookTestCaseBase.java
xmind,org.xmind.core.runtime.test,XMindCoreRuntimeTestSuite,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.runtime.tests/src/org/xmind/core/runtime/test/XMindCoreRuntimeTestSuite.java
xmind,org.xmind.core.runtime.test,CoreEvaluatorTestCase,2,0,16,12,205,17,0,0,0.3125,0,2,/Users/andris/Downloads/../Development/xmind/tests/org.xmind.core.runtime.tests/src/org/xmind/core/runtime/test/CoreEvaluatorTestCase.java
xmind,org.xmind.core.internal.command.remote,DefaultCommandServiceDomainDirector,4,0,9,7,181,34,0,0,0.6666666666666666,0,2,/Users/andris/Downloads/../Development/xmind/bundles/org.xmind.core.command.remote/src/org/xmind/core/internal/command/remote/DefaultCommandServiceDomainDirector.java
